epoch,linear,knn,eff_dim,patch_div,silhouette
0,0.8667,0.7644,6.227,0.3950,0.1361
10,0.8489,0.7444,2.736,0.3607,0.1432
20,0.8511,0.7533,3.203,0.3774,0.1645
30,0.8711,0.7889,3.804,0.3878,0.1859
40,0.8733,0.8267,4.318,0.3919,0.2070
50,0.8889,0.8222,4.793,0.3872,0.2091
60,0.8867,0.8311,5.229,0.3767,0.2171
70,0.8956,0.8378,5.522,0.3626,0.2256
80,0.9089,0.8422,5.777,0.3532,0.2277
90,0.9111,0.8511,5.943,0.3500,0.2354
100,0.9133,0.8644,6.117,0.3506,0.2365
